targetSpeed,actualSpeeds,actualTimes,speedFrac
-0.208972;0.26211;-0.584192;0.339273;0.221596;-0.0226182,-0.199648;0.252277;-0.561489;0.315408;0.210183;-0.0213481,0.780764,1
-0.211208;0.264398;-0.589511;0.345325;0.224391;-0.0229326,-0.202033;0.254833;-0.567371;0.321322;0.213069;-0.0216673,0.788764,1
-0.213404;0.266615;-0.594678;0.351411;0.22716;-0.0232456,-0.206696;0.259752;-0.578727;0.333255;0.218777;-0.0223024,0.796764,1
-0.215557;0.268757;-0.599691;0.357528;0.229903;-0.0235571,-0.211208;0.264398;-0.589511;0.345325;0.224391;-0.0229326,0.804764,1
-0.217668;0.270825;-0.604544;0.363678;0.232617;-0.0238669,-0.213404;0.266615;-0.594678;0.35141;0.22716;-0.0232456,0.812764,1
-0.219735;0.272814;-0.609233;0.369858;0.235303;-0.0241751,-0.215557;0.268757;-0.599691;0.357528;0.229903;-0.0235571,0.820764,1
-0.221756;0.274724;-0.613754;0.37607;0.237959;-0.0244814,-0.217668;0.270825;-0.604544;0.363677;0.232617;-0.0238669,0.828764,1
-0.22373;0.276553;-0.618104;0.382311;0.240584;-0.0247859,-0.219735;0.272814;-0.609233;0.369858;0.235303;-0.0241751,0.836764,1
-0.225657;0.278298;-0.622278;0.388583;0.243176;-0.0250884,-0.219735;0.272814;-0.609233;0.369858;0.235303;-0.0241751,0.844764,1
-0.227533;0.279959;-0.626272;0.394883;0.245735;-0.0253887,-0.221756;0.274724;-0.613754;0.37607;0.237959;-0.0244814,0.852764,1
-0.229359;0.281532;-0.630081;0.401212;0.24826;-0.025687,-0.22373;0.276553;-0.618104;0.382311;0.240584;-0.0247859,0.860764,1
-0.231134;0.283016;-0.633702;0.407568;0.25075;-0.0259829,-0.227533;0.279959;-0.626272;0.394883;0.245735;-0.0253887,0.868764,1
-0.232854;0.284408;-0.63713;0.413952;0.253202;-0.0262765,-0.229359;0.281532;-0.630081;0.401212;0.24826;-0.025687,0.876764,1
-0.234521;0.285708;-0.640362;0.420363;0.255618;-0.0265676,-0.231134;0.283015;-0.633702;0.407568;0.25075;-0.0259829,0.884765,1
-0.236132;0.286914;-0.643393;0.426799;0.257994;-0.0268562,-0.232854;0.284408;-0.63713;0.413952;0.253202;-0.0262765,0.892765,1
-0.237685;0.288022;-0.646219;0.433262;0.260331;-0.0271421,-0.234521;0.285708;-0.640362;0.420363;0.255618;-0.0265676,0.900765,1
-0.23918;0.289032;-0.648835;0.439749;0.262626;-0.0274253,-0.236132;0.286914;-0.643393;0.426799;0.257994;-0.0268562,0.908765,1
-0.240616;0.289941;-0.651239;0.44626;0.26488;-0.0277057,-0.237685;0.288022;-0.646219;0.433262;0.260331;-0.0271421,0.916765,1
-0.241991;0.290747;-0.653425;0.452796;0.267091;-0.0279831,-0.23918;0.289032;-0.648835;0.439749;0.262626;-0.0274253,0.924765,1
-0.243303;0.29145;-0.655389;0.459354;0.269257;-0.0282576,-0.23918;0.289032;-0.648835;0.439749;0.262626;-0.0274253,0.932765,1
-0.244553;0.292045;-0.657128;0.465936;0.271378;-0.0285289,-0.240616;0.289941;-0.651239;0.44626;0.26488;-0.0277057,0.940765,1
-0.245737;0.292533;-0.658637;0.472539;0.273453;-0.028797,-0.241991;0.290747;-0.653425;0.452796;0.267091;-0.0279831,0.948765,1
-0.246856;0.29291;-0.659912;0.479164;0.27548;-0.0290619,-0.243303;0.29145;-0.655389;0.459354;0.269257;-0.0282576,0.956765,1
-0.247907;0.293176;-0.660948;0.48581;0.277459;-0.0293233,-0.245737;0.292533;-0.658637;0.472539;0.273453;-0.028797,0.964765,1
-0.24889;0.293327;-0.661743;0.492476;0.279388;-0.0295812,-0.246856;0.29291;-0.659912;0.479164;0.27548;-0.0290618,0.972765,1
-0.249802;0.293362;-0.66229;0.499162;0.281266;-0.0298356,-0.246856;0.29291;-0.659912;0.479164;0.27548;-0.0290618,0.980765,1
-0.250644;0.293279;-0.662588;0.505867;0.283093;-0.0300863,-0.247907;0.293175;-0.660948;0.48581;0.277459;-0.0293233,0.988765,1
