targetSpeed,actualSpeeds,actualTimes,speedFrac
-1.01434;-1.53723;-1.93194;-1.59536;1.53771;-0.18878,-0.157476;0.20393;-0.45181;0.225608;0.161731;-0.0161459,0.636063,1
-1.01434;-1.53723;-1.93194;-1.59536;1.53771;-0.18878,-0.157476;0.20393;-0.45181;0.225608;0.161731;-0.0161459,0.644063,1
-1.01562;-1.53557;-1.93561;-1.59352;1.53903;-0.188912,-0.160254;0.207254;-0.459286;0.230873;0.16481;-0.0164692,0.652063,1
-1.01693;-1.53389;-1.93934;-1.59163;1.54037;-0.189046,-0.163018;0.210545;-0.466695;0.236184;0.167884;-0.0167929,0.660063,1
-1.01827;-1.53215;-1.94319;-1.58966;1.54176;-0.189185,-0.168496;0.217019;-0.481292;0.246936;0.174018;-0.0174413,0.668063,1
-1.01964;-1.53039;-1.94709;-1.58764;1.54318;-0.189327,-0.171207;0.220199;-0.488472;0.252376;0.177075;-0.0177659,0.676064,1
-1.01964;-1.53039;-1.94709;-1.58764;1.54318;-0.189327,-0.171207;0.220199;-0.488472;0.252376;0.177075;-0.0177659,0.684064,1
-1.02103;-1.52861;-1.95106;-1.58558;1.54462;-0.189472,-0.173899;0.223337;-0.495568;0.257859;0.180124;-0.0180905,0.692064,1
-1.02244;-1.5268;-1.95507;-1.58347;1.54608;-0.189619,-0.176569;0.226433;-0.502575;0.263384;0.183163;-0.018415,0.700064,1
-1.0239;-1.52494;-1.9592;-1.58128;1.5476;-0.189771,-0.181841;0.232489;-0.516308;0.274557;0.189211;-0.0190638,0.708064,1
-1.02537;-1.52306;-1.96338;-1.57904;1.54913;-0.189926,-0.18444;0.235444;-0.523024;0.280204;0.192217;-0.0193878,0.716064,1
-1.02687;-1.52115;-1.96762;-1.57676;1.55069;-0.190084,-0.187013;0.238349;-0.529635;0.28589;0.195209;-0.0197114,0.724064,1
-1.02838;-1.51922;-1.9719;-1.57443;1.55228;-0.190244,-0.189558;0.241202;-0.536137;0.291615;0.198187;-0.0200345,0.732064,1
-1.02992;-1.51727;-1.97624;-1.57205;1.55389;-0.190407,-0.192075;0.244001;-0.542526;0.297379;0.201149;-0.020357,0.740064,1
-1.03147;-1.5153;-1.98063;-1.56962;1.55552;-0.190572,-0.194561;0.246743;-0.548797;0.30318;0.204094;-0.0206788,0.748065,1
-1.03305;-1.5133;-1.98507;-1.56715;1.55717;-0.19074,-0.197016;0.249427;-0.554946;0.309018;0.207021;-0.0209999,0.756065,1
-1.03464;-1.51129;-1.98956;-1.56463;1.55885;-0.190911,-0.199438;0.252051;-0.560969;0.314893;0.20993;-0.0213202,0.764065,1
-1.03626;-1.50925;-1.99409;-1.56207;1.56056;-0.191084,-0.201826;0.254612;-0.566862;0.320804;0.212818;-0.0216394,0.772065,1
-1.03626;-1.50925;-1.99409;-1.56207;1.56056;-0.191084,-0.201826;0.254612;-0.566862;0.320804;0.212818;-0.0216394,0.780065,1
-1.03789;-1.50719;-1.99867;-1.55946;1.56228;-0.191259,-0.204179;0.25711;-0.572622;0.32675;0.215685;-0.0219577,0.788065,1
-1.03954;-1.50512;-2.0033;-1.5568;1.56403;-0.191438,-0.206496;0.259542;-0.578242;0.332731;0.21853;-0.0222748,0.796065,1
-1.04123;-1.50301;-2.008;-1.55404;1.56582;-0.191621,-0.211014;0.264201;-0.589052;0.344795;0.224148;-0.0229052,0.804065,1
-1.04293;-1.50087;-2.01276;-1.55124;1.56763;-0.191806,-0.213213;0.266424;-0.594233;0.350877;0.226919;-0.0232183,0.812068,1
-1.04466;-1.49873;-2.01755;-1.54838;1.56947;-0.191994,-0.215371;0.268573;-0.599259;0.356992;0.229664;-0.0235299,0.820068,1
-1.0464;-1.49656;-2.02238;-1.54548;1.57133;-0.192185,-0.217486;0.270647;-0.604126;0.363139;0.232381;-0.0238399,0.828068,1
-1.0464;-1.49656;-2.02238;-1.54548;1.57133;-0.192185,-0.217486;0.270647;-0.604126;0.363139;0.232381;-0.0238399,0.836068,1
-1.04815;-1.49438;-2.02725;-1.54252;1.57321;-0.192378,-0.219557;0.272644;-0.608832;0.369319;0.235071;-0.0241484,0.844068,1
-1.04992;-1.49218;-2.03216;-1.53952;1.57511;-0.192574,-0.221582;0.274561;-0.613368;0.375528;0.237729;-0.0244549,0.852069,1
-1.05173;-1.48996;-2.03713;-1.53642;1.57705;-0.192774,-0.225491;0.27815;-0.621922;0.388036;0.242952;-0.0250621,0.860069,1
-1.05355;-1.48772;-2.04214;-1.53327;1.57902;-0.192977,-0.227372;0.279818;-0.625932;0.394334;0.245514;-0.0253627,0.868069,1
-1.05538;-1.48547;-2.04717;-1.53006;1.581;-0.193182,-0.229203;0.281398;-0.629757;0.40066;0.248042;-0.0256611,0.876069,1
-1.05723;-1.48321;-2.05224;-1.52681;1.583;-0.19339,-0.230981;0.28289;-0.633395;0.407014;0.250534;-0.0259573,0.884069,1
-1.05723;-1.48321;-2.05224;-1.52681;1.583;-0.19339,-0.230981;0.28289;-0.633395;0.407014;0.250534;-0.0259573,0.892069,1
-1.05909;-1.48094;-2.05733;-1.5235;1.58503;-0.1936,-0.232707;0.284291;-0.63684;0.413396;0.252991;-0.026251,0.900069,1
-1.06096;-1.47865;-2.06245;-1.52015;1.58707;-0.193812,-0.234378;0.285599;-0.640089;0.419804;0.255409;-0.0265424,0.908069,1
-1.06286;-1.47635;-2.06762;-1.51669;1.58915;-0.194029,-0.237552;0.287929;-0.645981;0.432699;0.260129;-0.0271174,0.916069,1
-1.06477;-1.47404;-2.07281;-1.51318;1.59125;-0.194248,-0.239053;0.288948;-0.648616;0.439184;0.262428;-0.0274008,0.924069,1
-1.0667;-1.47172;-2.07802;-1.50961;1.59336;-0.194469,-0.240494;0.289866;-0.651038;0.445693;0.264686;-0.0276814,0.932069,1
-1.06863;-1.46939;-2.08324;-1.506;1.5955;-0.194692,-0.241874;0.290681;-0.653243;0.452227;0.2669;-0.0279591,0.940069,1
